iter	Passed	Remaining
0	2	2752
1	4	2394
2	6	2307
3	9	2264
4	11	2321
5	13	2305
6	15	2198
7	17	2130
8	18	2069
9	20	2044
10	22	2021
11	24	1976
12	25	1961
13	27	1948
14	29	1935
15	31	1908
16	32	1891
17	34	1883
18	36	1873
19	38	1869
20	39	1860
21	41	1846
22	43	1837
23	44	1824
24	46	1813
25	48	1802
26	49	1788
27	51	1779
28	53	1776
29	54	1776
30	56	1769
31	58	1763
32	60	1782
33	62	1775
34	64	1766
35	65	1757
36	67	1750
37	68	1746
38	70	1742
39	72	1737
40	74	1732
41	75	1728
42	77	1722
43	79	1716
44	80	1708
45	82	1700
46	83	1692
47	85	1688
48	86	1683
49	88	1677
50	89	1671
51	91	1669
52	93	1662
53	94	1659
54	96	1656
55	98	1661
56	100	1667
57	102	1665
58	104	1661
59	105	1659
60	108	1670
61	110	1670
62	112	1666
63	113	1666
64	115	1664
65	117	1664
66	119	1659
67	121	1659
68	123	1660
69	125	1662
70	126	1656
71	128	1652
72	129	1647
73	131	1642
74	132	1638
75	134	1632
76	135	1627
77	137	1625
78	139	1624
79	141	1622
80	142	1620
81	144	1617
82	146	1613
83	147	1611
84	149	1607
85	150	1604
86	152	1599
87	154	1600
88	156	1600
89	157	1596
90	159	1591
91	161	1590
92	162	1587
93	164	1586
94	166	1581
95	167	1577
96	169	1573
97	170	1571
98	172	1572
99	174	1569
100	175	1565
101	177	1563
102	179	1559
103	180	1556
104	182	1557
105	184	1554
106	185	1551
107	188	1553
108	189	1552
109	191	1552
110	193	1552
111	195	1553
112	197	1552
113	199	1549
114	201	1550
115	203	1550
116	205	1549
117	206	1546
118	208	1543
119	209	1539
120	211	1536
121	213	1533
122	214	1530
123	216	1526
124	218	1527
125	220	1527
126	222	1526
127	223	1525
128	225	1523
129	227	1519
130	228	1517
131	230	1514
132	231	1511
133	233	1508
134	235	1505
135	236	1505
136	238	1503
137	240	1500
138	241	1498
139	243	1495
140	245	1492
141	246	1489
142	248	1486
143	249	1483
144	251	1482
145	253	1480
146	254	1478
147	256	1475
148	257	1473
149	260	1474
150	261	1472
151	263	1469
152	264	1466
153	267	1467
154	268	1465
155	270	1464
156	272	1463
157	274	1461
158	275	1459
159	277	1456
160	279	1454
161	280	1451
162	282	1448
163	284	1448
164	285	1446
165	287	1444
166	289	1442
167	290	1439
168	292	1438
169	294	1435
170	295	1433
171	297	1433
172	299	1433
173	301	1432
174	303	1429
175	304	1426
176	306	1423
177	307	1421
178	309	1419
179	310	1416
180	312	1412
181	313	1410
182	315	1408
183	317	1407
184	319	1406
185	321	1406
186	323	1404
187	324	1402
188	326	1401
189	327	1398
190	329	1395
191	331	1394
192	332	1391
193	334	1389
194	336	1387
195	337	1385
196	339	1382
197	340	1380
198	342	1377
199	343	1374
200	345	1372
201	347	1371
202	348	1368
203	350	1366
204	351	1363
205	353	1361
206	354	1359
207	356	1358
208	358	1356
209	359	1354
210	361	1351
211	362	1348
212	364	1346
213	365	1344
214	367	1341
215	369	1339
216	370	1336
217	372	1335
218	373	1333
219	375	1330
220	376	1328
221	378	1325
222	379	1323
223	381	1321
224	383	1319
225	384	1317
226	386	1315
227	387	1313
228	389	1310
229	390	1308
230	392	1306
231	393	1304
232	395	1301
233	397	1300
234	398	1297
235	400	1296
236	401	1293
237	403	1291
238	404	1289
239	406	1286
240	407	1284
241	409	1282
242	410	1280
243	412	1278
244	414	1276
245	415	1274
246	417	1272
247	418	1270
248	420	1268
249	422	1266
250	423	1264
251	425	1261
252	426	1260
253	428	1258
254	430	1257
255	431	1254
256	433	1252
257	434	1250
258	436	1248
259	437	1246
260	439	1244
261	441	1242
262	442	1241
263	444	1238
264	445	1236
265	447	1234
266	448	1232
267	450	1230
268	451	1227
269	453	1226
270	455	1224
271	456	1222
272	458	1220
273	460	1221
274	462	1219
275	464	1217
276	465	1214
277	467	1214
278	469	1212
279	471	1211
280	472	1208
281	474	1207
282	475	1205
283	477	1203
284	478	1200
285	480	1199
286	482	1197
287	483	1195
288	485	1194
289	487	1193
290	489	1191
291	490	1189
292	492	1187
293	493	1185
294	495	1184
295	497	1182
296	498	1180
297	500	1179
298	502	1177
299	503	1175
300	505	1173
301	507	1171
302	508	1170
303	510	1168
304	511	1166
305	513	1164
306	514	1162
307	516	1160
308	518	1159
309	519	1157
310	521	1155
311	523	1153
312	524	1151
313	526	1149
314	527	1147
315	529	1145
316	530	1143
317	532	1141
318	534	1140
319	535	1138
320	537	1136
321	538	1134
322	540	1132
323	542	1131
324	543	1129
325	545	1126
326	546	1125
327	548	1123
328	550	1122
329	551	1120
330	553	1118
331	554	1116
332	556	1114
333	558	1113
334	559	1111
335	561	1109
336	562	1107
337	564	1105
338	566	1105
339	568	1103
340	569	1101
341	571	1099
342	573	1097
343	574	1095
344	576	1094
345	578	1092
346	579	1090
347	581	1089
348	583	1088
349	584	1086
350	586	1084
351	588	1082
352	589	1080
353	591	1078
354	592	1076
355	594	1075
356	595	1073
357	597	1071
358	599	1069
359	601	1069
360	603	1067
361	604	1065
362	606	1063
363	607	1061
364	609	1059
365	610	1057
366	612	1056
367	613	1054
368	615	1053
369	617	1051
370	619	1050
371	621	1048
372	622	1046
373	624	1045
374	626	1043
375	627	1041
376	629	1039
377	631	1038
378	632	1036
379	634	1034
380	635	1032
381	637	1031
382	638	1029
383	640	1027
384	642	1026
385	643	1024
386	645	1022
387	647	1020
388	648	1019
389	650	1017
390	651	1015
391	653	1013
392	655	1011
393	656	1010
394	658	1008
395	659	1006
396	661	1004
397	663	1003
398	665	1001
399	666	999
400	668	997
401	669	996
402	671	994
403	672	992
404	674	990
405	675	988
406	677	987
407	679	985
408	681	984
409	683	983
410	685	981
411	686	979
412	688	977
413	689	976
414	691	974
415	692	972
416	694	970
417	695	968
418	697	967
419	699	966
420	701	964
421	702	962
422	704	961
423	706	959
424	707	957
425	709	955
426	711	954
427	712	952
428	714	950
429	715	949
430	717	947
431	719	945
432	720	943
433	722	941
434	723	939
435	725	938
436	726	936
437	728	934
438	730	933
439	731	931
440	733	929
441	735	927
442	736	926
443	738	924
444	739	922
445	741	921
446	743	919
447	744	917
448	746	915
449	747	914
450	749	912
451	751	910
452	752	908
453	754	907
454	756	906
455	758	904
456	760	903
457	762	901
458	764	901
459	766	899
460	768	898
461	770	896
462	771	895
463	773	893
464	775	892
465	777	891
466	779	889
